"Datacenter","ansible_fqdn","ansible_host"
"igqprqavc01","seaqainfltdb01","10.80.100.166"
"igqprqavc01","seaqainfltdb02","10.80.100.167"
"igqprqavc01","seaqainfltdb03","10.80.100.168"
"igqprqavc01","seaqainfltdb04","10.80.100.169"
"igqprqavc01","seaqajcmsljmp02.alaskaair.com","10.80.130.52"
"igqprqavc01",,
"igqprqavc01","seaqapilotct01","10.80.88.14"
"igqprqavc01","seaqapilotdb01","10.80.102.65"
"igqprqavc01","seaqapsfinapp10.alaskaair.com","10.80.102.28"
"igqprqavc01","seaqapsfinapp11.alaskaair.com","10.80.102.29"
"igqprqavc01","seaqapsfinapp12","10.80.102.30"
"igqprqavc01","seaqapsfinapp13","10.80.102.31"
"igqprqavc01","seaqapsmdb01.alaskaair.com","10.80.97.6"
"igqprqavc01","seaqatwsmdm01.alaskaair.com","159.49.196.136"
"igqprqavc01","seaqatwsmdm02.alaskaair.com","159.49.196.137"
"igqprqavc01","seaqavinciapp01.alaskaair.com","10.80.74.122"
"igqprqavc01","igqqavlanpig01",
"igqprqavc01","seaqaw3cmsinf01.alaskaair.com","10.24.72.32"
"igqprqavc01","seaqaw3cmsmon01.alaskaair.com","10.24.72.44"
"igqprqavc01","seaqaw3cmspws01.alaskaair.com","10.24.72.33"
"igqprqavc01","seaqaw3cmspws02.alaskaair.com","10.24.72.34"
"igqprqavc01","seaqaw3cmspws03.alaskaair.com","10.24.72.35"
"igqprqavc01","seaqaw3cmspws04.alaskaair.com","10.24.72.36"
"igqprqavc01","seaqaw3cmsspsa01.alaskaair.com","10.24.72.37"
"igqprqavc01","seaqaw3cmsspsa02.alaskaair.com","10.24.72.38"
"igqprqavc01","seaqaw3cmsspsb01.alaskaair.com","10.24.72.39"
"igqprqavc01","seaqaw3cmsspsb02.alaskaair.com","10.24.72.40"
"igqprqavc01","seaqaw3cmsspsc01.alaskaair.com","10.24.72.41"
"igqprqavc01","seaqaw3cmsweb01.alaskaair.com","10.24.72.42"
"igqprqavc01","seaqaw3cmsweb02.alaskaair.com","10.24.72.43"
"igqprqavc01","seaqaw3jcmsljmp01.alaskaair.com","10.24.72.31"
"igqprqavc01","seasbtwsmdm01.alaskaair.com","159.49.196.134"
"igqprqavc01","seasbtwsmdm02.alaskaair.com","159.49.196.135"
"igqprqavc01","seatbcms8inf01.alaskaair.com","10.80.88.48"
"igqprqavc01","seatbcms8pws01.alaskaair.com","10.80.88.50"
"igqprqavc01","seatbcms8sps01.alaskaair.com","10.80.88.49"
"igqprqavc01","seatbcms8web01.alaskaair.com","10.80.88.51"
"igqprqavc01","seatccms8inf01.alaskaair.com","10.80.88.38"
"igqprqavc01","seatccms8pws01.alaskaair.com","10.80.88.40"
"igqprqavc01","seatccms8sps01.alaskaair.com","10.80.88.39"
"igqprqavc01","seatccms8web01.alaskaair.com","10.80.88.41"
"igqprqavc01","seaticms8inf01.alaskaair.com","10.80.88.52"
"igqprqavc01","seaticms8pws01.alaskaair.com","10.80.88.54"
"igqprqavc01","seaticms8sps01.alaskaair.com","10.80.88.53"
"igqprqavc01","seaticms8web01.alaskaair.com","10.80.88.55"
"igqprqavc01","seatrcms8inf01.alaskaair.com","10.80.88.57"
"igqprqavc01","seatrcms8pws01.alaskaair.com","10.80.88.59"
"igqprqavc01","seatrcms8sps01.alaskaair.com","10.80.88.58"
"igqprqavc01","seatrcms8web01.alaskaair.com","10.80.88.60"
"igqprqavc01",,
"igqprqavc01",,
"igqprqavc01","seatsblobfuse01.alaskaair.com","10.80.99.36"
"igqprqavc01","seatsbomgar01.alaskaair.com","172.20.77.59"
"igqprqavc01","seatsclint12cdb01.alaskaair.com","159.49.196.28"
"igqprqavc01","seatsclint12cdb02.alaskaair.com","10.80.97.253"
"igqprqavc01","seatscms8inf01.alaskaair.com","10.80.88.44"
"igqprqavc01","seatscms8pws01.alaskaair.com","10.80.88.46"
"igqprqavc01","seatscms8sps01.alaskaair.com","10.80.88.45"
"igqprqavc01","seatscms8web01.alaskaair.com","10.80.88.47"
"igqprqavc01","seatscmsldap01.alaskaair.com","10.80.101.194"
"igqprqavc01","localhost.localdomain","10.80.103.240"
"igqprqavc01",,
"igqprqavc01","seatsempltrdb01.alaskaair.com","10.80.101.184"
"igqprqavc01","seatsfaajaws01.alaskaair.com","159.49.196.130"
"igqprqavc01",,
"igqprqavc01","seatsftms7371","10.80.88.35"
"igqprqavc01","seatsftmsdb01","10.80.88.29"
"igqprqavc01","seatsftmsqx01","10.80.88.34"
"igqprqavc01","seatsgpdb01.alaskaair.com","10.80.96.171"
"igqprqavc01","seatsgwickrh701.alaskaair.com","10.80.103.28"
"igqprqavc01","seatsinfltdb01","10.80.100.165"
"igqprqavc01","seatsinfrmdb01.alaskaair.com","10.80.100.17"
"igqprqavc01","seatsiwsmdm01.alaskaair.com","10.80.102.196"
"igqprqavc01","seatsjcmsljmp02.alaskaair.com","10.80.88.64"
"igqprqavc01","seatsjcts4aaz01.alaskaair.com","10.80.88.16"
"igqprqavc01","seatsjcts4aaz02.alaskaair.com","10.80.88.17"
"igqprqavc01","seatsjohnansi01.alaskaair.com","10.80.88.71"
"igqprqavc01","seatskwood01.alaskaair.com","10.24.20.21"
"igqprqavc01","seatskwood02.alaskaair.com","10.24.20.26"
"igqprqavc01","seatsmfapoc01","10.80.101.182"
"igqprqavc01","seatsmon01.alaskaair.com","10.80.88.28"
"igqprqavc01","seatsnetansi01.alaskaair.com","10.80.102.104"
"igqprqavc01","seatsoam12cdb01.alaskaair.com","10.80.98.207"
"igqprqavc01","seatsoptmodb01.alaskaair.com","10.80.100.62"
"igqprqavc01",,
"igqprqavc01","seatspilotdb01","10.80.102.64"
"igqprqavc01","seatspocpg01","10.80.101.247"
"igqprqavc01",,
"igqprqavc01","seatspsfinapp10","10.80.102.17"
"igqprqavc01","seatspsfinapp20","10.80.102.37"
"igqprqavc01","seatspsmdb01.alaskaair.com","10.80.97.7"
"igqprqavc01","seatsrh5repo01.alaskaair.com","10.80.96.30"
"igqprqavc01",,
"igqprqavc01","seatsrh7repo01.alaskaair.com","10.80.96.253"
"igqprqavc01","seatsrheltes01","10.80.103.34"
"igqprqavc01","seatss4aapp101.alaskaair.com","10.80.74.70"
"igqprqavc01","seatss4aapp102.alaskaair.com","10.80.74.71"
"igqprqavc01","seatss4aapp103.alaskaair.com","10.80.74.72"
"igqprqavc01","seatss4aapp104.alaskaair.com","10.80.75.9"
"igqprqavc01","seatss4abal101.alaskaair.com","10.80.74.67"
"igqprqavc01","seatss4abal201.alaskaair.com","10.80.74.204"
"igqprqavc01",,
"igqprqavc01",,
"igqprqavc01","seatss4actdb01","10.80.96.9"
"igqprqavc01","seatss4amq101.alaskaair.com","10.80.74.68"
"igqprqavc01","seatss4amq102.alaskaair.com","10.80.74.69"
"igqprqavc01","seatss4amq103.alaskaair.com","10.80.75.11"
"igqprqavc01","seatss4amq104.alaskaair.com","10.80.75.12"
"igqprqavc01","seatss4amq202.alaskaair.com","10.80.74.203"
"igqprqavc01","seatss4anag01.alaskaair.com","10.80.103.15"
"igqprqavc01","seatss4apgdb101.alaskaair.com","10.80.74.79"
"igqprqavc01","seatss4apgdb201.alaskaair.com","10.80.74.198"
"igqprqavc01","seatss4atrapp01a.alaskaair.com","10.80.72.155"
"igqprqavc01","seatss4atrapp02.alaskaair.com","10.80.72.156"
"igqprqavc01",,
"igqprqavc01","seatss4autl101.alaskaair.com","10.80.74.73"
"igqprqavc01","seatssatsrv02.alaskaair.com","10.80.101.162"
"igqprqavc01",,
"igqprqavc01","seatssfelner09","10.80.98.117"
"igqprqavc01","seatssumolx01.alaskaair.com","10.80.96.147"
"igqprqavc01","seatstbomgar01","169.254.1.1"
"igqprqavc01","seatstlinesrh6.alaskaair.com","10.80.96.114"
"igqprqavc01","seatstlinesrh7.alaskaair.com","10.80.98.59"
"igqprqavc01","seatstlinesrh8.alaskaair.com","10.80.97.47"
"igqprqavc01","seatstlinesrh9.alaskaair.com","159.49.196.72"
"igqprqavc01","seatstwsdb02.alaskaair.com","10.80.120.156"
"igqprqavc01","seatstwsmdm01","159.49.199.233"
"igqprqavc01",,
"igqprqavc01","seatsucsctrl01.alaskaair.com","10.80.97.211"
"igqprqavc01",,
"igqprqavc01","seatsytang01.alaskaair.com","10.80.88.42"
"igqprqavc01","seatts4apgdb401.alaskaair.com","10.80.74.175"
"igqprqavc01","seavvqaproxy02.alaskaair.com","172.20.77.18"
"igqprqavc01","sigqqaaquascan01","10.80.103.70"
"igqprqavc01","sigqqaaquascan02","10.80.103.76"
"igqprqavc01","sigqqaaquascan03","10.80.103.77"
"igqprqavc01","sigqqaaquascan04","10.80.103.73"
"igqprqavc01","sigqqajspl01","10.80.103.46"
"igqprqavc01","sigqqajspl02","10.80.103.45"
"igqprqavc01","igqq3labcucunitypub01","10.24.20.19"
"se4prtsvc01","localhost.localdomain","10.34.130.210"
"se4prtsvc01","se4alpshcmapp01.aagqa.net","10.34.144.11"
"se4prtsvc01","se4alpshcmapp02.aagqa.net","10.34.144.27"
"se4prtsvc01","se4bdpshcmapp02.aagqa.net","10.34.144.29"
"se4prtsvc01","se4dvfltopsdb01.aagqa.net","10.34.131.23"
"se4prtsvc01","se4dvpshcmapp01.aagqa.net","10.34.144.12"
"se4prtsvc01","se4dvpshcmapp02.aagqa.net","10.34.144.18"
"se4prtsvc01","se4shxtest04","10.34.20.44"
"se4prtsvc01","se4t3ddos01.aagq3.net","159.49.93.2"
"se4prtsvc01","se4t3l7gw01.alaskaair.com","10.34.67.20"
"se4prtsvc01","se4t3l7portal01.alaskaair.com","10.34.67.21"
"se4prtsvc01","se4testcj.alaskaair.com",
"se4prtsvc01","se4tsapetcd01","10.34.130.13"
"se4prtsvc01","se4tsapetcd02","10.34.130.14"
"se4prtsvc01","se4tsapetcd03","10.34.130.15"
"se4prtsvc01","se4tsapetcd04","10.34.130.16"
"se4prtsvc01","se4tsapetcd05","10.34.130.17"
"se4prtsvc01","se4tsawx01","10.34.130.24"
"se4prtsvc01","se4tsdbamysql01.alaskaair.com","10.34.20.14"
"se4prtsvc01","se4tsfltopsdb01.aagqa.net","10.34.131.20"
"se4prtsvc01","se4tsgenhunt03a","10.34.8.132"
"se4prtsvc01","se4tsgenhunt04a","10.34.9.29"
"se4prtsvc01","se4tsl7gw01.alaskaair.com","10.34.161.20"
"se4prtsvc01","se4tsl7portal01.alaskaair.com","10.34.161.22"
"se4prtsvc01","se4tsmq01.aagqa.net","10.34.12.10"
"se4prtsvc01","se4tsmq02.aagqa.net","10.34.12.17"
"se4prtsvc01","se4tsnbot01.aagqa.net","10.34.200.20"
"se4prtsvc01","se4tsnbotpgdb01.aagqa.net","10.34.200.21"
"se4prtsvc01","se4tsnetadoci01.alaskaair.com","10.34.200.25"
"se4prtsvc01","se4tspshcmapp01.aagqa.net","10.34.144.13"
"se4prtsvc01","se4tspshcmapp02.aagqa.net","10.34.144.19"
